CLASS,CX,CY,W,H,IMAGE
0,110,111,198,186,1633
0,111,111,207,211,1634
0,111,133,186,139,1635
0,110,115,198,186,1636
0,110,111,220,191,1638
0,104,100,205,161,1641
0,113,121,151,110,1642
0,110,117,217,212,1643
0,109,114,194,175,1648
0,110,114,210,200,1649
0,112,112,214,196,1650
0,87,124,152,163,1652
0,110,123,210,179,1654
0,112,111,207,185,1656
0,115,135,99,133,1657
0,113,120,199,152,1658
0,87,132,97,93,1659
0,112,124,205,160,1660
0,113,138,194,117,1661
0,112,112,222,189,1663
0,109,122,192,178,1664
0,113,125,203,167,1666
0,108,112,171,191,1669
0,116,133,137,143,1671
0,113,122,205,174,1672
0,110,111,214,218,1674
0,109,113,203,177,1675
0,112,145,208,140,1676
0,112,103,204,197,1677
0,107,122,186,119,1678
0,112,97,208,168,1679
0,110,113,193,136,1680
0,80,121,160,147,1682
0,113,125,209,136,1683
0,118,113,184,100,1684
0,111,114,213,190,1685
0,112,114,205,201,1686
0,113,114,206,156,1687
0,113,114,200,166,1688
0,185,185,76,76,1689
0,110,110,217,125,1691
0,112,108,207,113,1692
0,109,114,213,190,1693
0,107,159,166,98,1695
0,50,161,92,79,1696
0,112,112,205,191,1698
0,112,111,201,193,1699
0,109,114,178,184,1700
0,115,122,210,182,1701
0,111,111,216,201,1702
0,113,103,178,181,1704
0,111,113,216,192,1705
0,112,122,213,178,1707
0,123,124,189,155,1708
0,111,132,195,146,1709
0,112,112,206,215,1710
0,111,113,180,168,1711
0,111,111,183,140,1712
0,122,107,180,165,1715
0,111,114,183,179,1716
0,111,111,218,209,1718
0,111,113,206,190,1721
0,102,131,167,105,1722
0,111,138,216,151,1723
0,113,124,211,182,1726
0,109,122,208,154,1727
0,111,110,217,190,1730
0,107,137,215,166,1731
0,107,112,192,144,1733
0,114,107,206,215,1734
0,110,132,197,167,1735
0,111,97,172,113,1738
0,110,111,216,188,1739
0,112,122,210,181,1741
0,98,138,170,94,1742
0,109,111,209,223,1746
0,108,125,203,150,1748
0,111,147,202,147,1749
0,108,115,203,134,1751
0,110,111,208,201,1752
0,112,112,194,173,1753
0,115,102,206,162,1754
0,113,132,207,142,1755
0,111,112,217,206,1756
0,111,110,203,153,1757
0,110,114,198,188,1759
0,113,103,202,206,1761
0,107,121,184,142,1762
0,112,110,214,221,1763
0,108,112,194,128,1764
0,104,102,196,171,1765
0,111,114,208,197,1766
0,111,115,212,181,1768
0,112,116,172,190,1769
0,111,111,222,195,1770
0,107,100,200,149,1771
0,113,119,210,123,1773
0,132,120,164,126,1774
0,109,112,207,149,1775
0,147,150,138,124,1777
0,111,109,223,205,1778
0,110,109,218,207,1781
0,111,112,206,211,1782
0,111,122,205,185,1784
0,108,111,212,213,1785
0,148,120,92,119,1786
0,109,121,210,124,1787
0,109,102,182,153,1788
0,113,112,215,196,1790
0,108,144,210,133,1792
0,111,121,223,203,1793
0,111,113,180,168,1794
0,110,123,199,187,1796
0,112,146,205,106,1797
0,112,107,215,145,1799
0,115,137,196,125,1800
0,111,111,212,177,1801
0,111,119,189,187,1802
0,69,162,125,106,1803
0,111,132,217,144,1804
0,109,112,186,197,1806
0,111,110,213,205,1808
0,104,111,142,142,1809
0,112,102,222,193,1810
0,109,137,172,146,1812
0,111,112,206,174,1813
0,111,112,203,158,1815
0,113,119,215,160,1816
0,112,112,212,192,1818
0,124,111,181,223,1819
0,119,186,68,70,1820
0,109,100,178,175,1821
0,112,131,205,147,1822
0,114,113,198,172,1823
0,118,111,209,194,1824
0,113,114,208,198,1825
0,110,109,208,185,1826
0,98,121,172,140,1829
0,111,122,211,157,1830
0,110,100,205,154,1831
0,110,126,199,182,1832
0,109,122,211,175,1833
0,156,159,97,85,1834
0,113,120,196,185,1836
0,112,120,154,100,1837
0,110,124,216,134,1838
0,110,113,216,204,1839
0,111,110,203,176,1840
0,110,113,205,202,1841
0,109,115,213,198,1843
0,109,113,212,196,1844
0,111,108,210,203,1845
0,112,121,215,145,1846
0,115,120,186,140,1849
0,109,101,176,155,1850
0,107,122,195,170,1851
0,107,110,215,210,1853
0,108,98,198,197,1854
0,111,115,207,173,1855
0,112,111,214,223,1856
0,111,114,204,179,1857
0,120,136,167,65,1858
0,126,112,172,154,1859
0,109,125,194,168,1860
0,112,111,214,223,1862
0,112,109,212,190,1863
0,97,128,164,94,1865
0,115,113,208,188,1866
0,97,111,183,205,1867
0,108,125,192,167,1869
0,109,113,184,144,1870
0,119,113,188,191,1871
0,110,108,207,210,1874
0,107,111,199,177,1877
0,110,115,156,74,1878
0,109,114,218,189,1879
0,108,114,195,188,1880
0,112,121,210,180,1881
0,96,128,96,107,1882
0,111,112,212,182,1884
0,111,114,212,203,1887
0,113,113,220,196,1888
0,112,102,221,188,1890
0,114,123,199,138,1892
0,112,119,197,107,1893
0,111,111,209,168,1895
0,113,112,210,203,1896
0,113,118,209,195,1898
0,108,109,213,175,1899
0,109,122,178,138,1901
0,111,108,210,203,1903
0,110,121,207,159,1905
0,109,114,206,137,1906
0,112,114,209,198,1908
0,114,104,136,138,1909
0,109,108,210,109,1911
0,163,99,120,142,1912
0,112,114,209,198,1913
0,114,122,168,129,1914
0,115,111,212,200,1915
0,110,114,203,173,1916
0,111,109,200,158,1917
0,109,100,205,187,1919
0,109,113,133,131,1920
0,113,123,200,165,1921
0,107,147,214,130,1922
0,110,115,205,176,1923
0,112,146,205,106,1925
0,113,110,215,173,1926
0,109,112,199,210,1929
0,110,124,183,163,1930
0,108,113,201,195,1931
0,109,136,208,132,1932
0,115,137,196,167,1933
0,118,111,209,194,1934
0,121,110,186,206,1935
0,113,102,206,172,1937
0,97,126,169,107,1938
0,108,109,215,197,1939
0,112,119,176,100,1941
0,109,132,209,138,1942
0,108,110,215,200,1943
0,116,138,156,107,1948
0,112,112,214,202,1951
0,111,115,212,184,1953
0,112,103,209,187,1954
0,110,104,216,184,1955
0,111,113,214,203,1956
0,110,110,204,169,1958
0,114,120,210,189,1959
0,114,139,198,158,1961
0,111,112,198,196,1969
0,113,148,197,119,1971
0,114,110,172,133,1972
0,113,101,209,153,1973
0,123,146,186,125,1974
0,111,126,211,131,1975
0,111,112,201,164,1977
0,110,109,162,151,1978
0,147,124,148,171,1980
0,115,97,198,122,1981
0,113,114,201,195,1982
0,89,98,164,179,1983
0,110,115,207,166,1984
0,110,124,219,173,1986
0,111,120,215,140,1988
0,110,111,215,169,1989
0,120,125,179,186,1991
0,113,138,192,116,1992
0,112,124,204,167,1994
0,110,115,206,186,1995
0,120,144,146,80,1996
0,110,125,168,160,1997
0,111,111,216,202,1998
0,111,140,105,102,1999
0,99,126,156,103,2000
0,102,113,177,179,2001
0,116,134,97,95,2003
0,110,124,211,155,2004
0,110,113,211,187,2005
0,110,123,218,190,2006
0,109,111,209,152,2009
0,114,133,205,158,2011
0,111,101,174,104,2012
0,98,111,171,176,2013
0,111,114,162,213,2014
0,112,114,188,146,2015
0,111,110,211,177,2016
0,98,127,146,119,2017
0,112,122,210,181,2018
0,119,125,202,169,2019
0,113,113,182,184,2020
0,115,113,207,178,2022
0,109,112,217,193,2024
0,111,112,216,204,2025
0,112,113,206,156,2026
0,115,114,206,154,2027
0,118,122,206,193,2028
0,135,132,115,112,2029
0,111,139,187,139,2031
0,110,113,209,189,2032
0,114,115,207,196,2034
0,110,112,208,191,2035
0,113,114,206,179,2038
0,112,102,208,176,2041
0,99,139,119,82,2042
0,115,114,211,172,2043
0,109,113,192,182,2044
0,113,111,126,150,2046
0,109,112,199,210,2047
0,112,123,215,130,2048
0,110,115,201,152,2049
0,110,114,221,201,2050
0,113,120,211,175,2053
0,113,113,220,196,2054
0,111,113,172,208,2055
0,111,121,186,163,2056
0,111,115,200,122,2057
0,112,131,153,128,2058
0,111,130,209,167,2060
0,110,111,213,199,2061
0,111,123,205,171,2062
0,98,114,164,98,2064
0,111,114,212,201,2065
0,109,114,204,126,2067
0,111,109,210,159,2068
0,108,122,189,150,2069
0,134,143,76,90,2070
0,108,126,184,126,2072
0,111,126,208,173,2074
0,111,114,162,213,2075
0,99,114,184,170,2076
0,113,110,211,216,2077
0,113,109,207,201,2079
0,115,108,206,151,2080
0,111,114,211,190,2081
0,111,119,209,206,2083
0,111,110,205,192,2084
0,112,123,204,170,2085
0,112,119,207,102,2086
0,139,117,142,102,2087
0,111,121,211,186,2088
0,110,113,217,192,2090
0,110,122,194,161,2093
0,119,113,194,187,2094
0,115,111,216,202,2095
0,110,113,211,190,2096
0,112,112,203,206,2100
0,112,119,205,208,2101
0,110,110,217,125,2102
0,95,159,148,95,2103
0,109,114,132,130,2104
0,122,113,201,210,2105
0,109,123,194,170,2106
0,113,160,179,92,2108
0,114,114,216,196,2109
0,110,114,212,187,2110
0,112,137,201,148,2112
0,110,113,214,176,2114
0,113,111,194,171,2115
0,109,144,219,142,2116
0,110,120,216,181,2119
0,107,113,211,184,2120
0,131,127,155,93,2121
0,113,133,211,144,2122
0,112,102,191,158,2123
0,112,115,201,192,2124
0,93,123,129,87,2125
0,110,111,154,214,2127
0,113,111,203,173,2130
0,111,111,223,204,2131
0,112,112,206,185,2132
0,111,137,219,140,2133
0,114,109,185,171,2135
0,111,112,190,165,2136
0,112,113,215,200,2137
0,115,111,194,174,2138
0,111,144,202,119,2139
0,109,113,217,207,2141
0,109,110,210,190,2142
0,110,108,205,173,2145
0,115,72,205,119,2146
0,112,121,188,177,2148
0,110,125,193,114,2149
0,114,110,196,174,2150
0,114,110,202,147,2151
0,110,116,170,121,2153
0,110,146,208,141,2157
0,113,114,205,179,2160
0,114,103,146,124,2161
0,112,111,218,216,2163
0,112,136,209,115,2164
0,114,114,194,162,2165
0,111,109,207,189,2166
0,112,119,215,143,2167
0,113,123,181,127,2169
0,111,91,195,159,2170
0,109,112,176,140,2171
0,109,114,210,189,2172
0,115,124,152,98,2173
0,112,145,192,131,2177
0,110,132,197,167,2179
0,112,112,191,188,2180
0,112,119,200,112,2182
0,111,109,212,188,2183
0,140,132,124,139,2184
0,112,122,210,181,2185
0,109,109,197,181,2187
0,109,112,216,208,2188
0,146,114,145,82,2190
0,111,118,222,203,2191
0,112,113,205,172,2193
0,123,113,177,180,2196
0,107,111,207,186,2197
0,109,112,218,198,2199
0,113,109,219,149,2200
0,112,120,202,180,2202
0,111,113,207,186,2203
0,111,125,194,114,2204
0,107,146,140,120,2205
0,115,103,145,174,2207
0,109,125,196,163,2209
0,112,113,217,188,2210
0,115,110,190,180,2211
0,110,126,182,151,2212
0,114,111,174,179,2213
0,112,134,172,139,2214
0,109,103,201,194,2215
0,109,113,219,201,2216
0,113,114,206,179,2217
0,111,114,221,198,2218
0,112,121,213,183,2220
0,113,103,213,196,2221
0,61,171,101,88,2222
0,112,132,170,108,2223
0,114,114,191,180,2224
0,111,113,220,200,2228
0,111,121,182,130,2231
0,113,113,190,154,2232
0,111,133,187,147,2234
0,109,113,190,159,2235
0,109,109,165,171,2236
0,122,108,135,155,2237
0,110,115,213,182,2238
0,114,125,217,147,2239
0,109,113,217,209,2240
0,112,114,128,194,2241
0,109,125,162,101,2242
0,114,120,210,189,2244
0,109,112,208,176,2246
0,110,111,214,204,2249
0,112,112,196,192,2250
0,113,134,192,151,2251
0,111,108,215,182,2252
0,132,111,182,202,2253
0,111,133,193,164,2255
0,110,122,203,184,2256
0,120,112,179,217,2258
0,102,112,168,163,2260
0,113,114,188,159,2263
0,111,127,194,98,2264
0,115,112,206,206,2268
0,109,113,211,196,2269
0,91,121,159,134,2273
0,111,112,214,207,2279
0,112,121,215,145,2280
0,112,130,211,151,2281
0,112,112,212,202,2283
0,178,149,89,63,2284
0,69,151,134,70,2285
0,111,113,204,201,2286
0,109,121,192,88,2288
0,112,122,174,99,2289
0,112,151,96,128,2290
0,110,110,220,199,2291
0,119,109,196,121,2292
0,110,125,206,106,2294
0,113,113,206,194,2295
0,109,102,209,191,2296
0,102,113,185,159,2297
0,108,126,180,134,2299
0,111,110,207,176,2300
0,159,118,128,120,2301
0,113,112,196,96,2302
0,113,113,215,202,2303
0,113,139,200,108,2304
0,108,111,168,160,2305
0,109,109,190,127,2306
0,111,113,209,204,2307
0,112,110,210,188,2308
0,110,122,198,142,2310
0,113,91,212,169,2313
0,119,125,201,182,2314
0,57,144,111,121,2315
0,114,110,194,205,2316
0,49,113,99,198,2319
0,111,112,210,199,2320
0,110,111,205,191,2321
0,111,112,198,198,2322
0,112,125,193,178,2323
0,110,114,216,193,2324
0,113,157,148,66,2325
0,108,126,180,134,2326
0,113,114,204,185,2327
0,88,143,162,122,2328
0,112,125,217,166,2329
0,112,126,187,160,2330
0,111,112,217,198,2332
0,110,113,204,210,2333
0,112,127,197,131,2334
0,111,103,218,177,2336
0,110,109,210,201,2340
0,115,113,190,153,2341
0,110,110,209,195,2342
0,110,120,213,189,2344
0,111,114,205,183,2346
0,108,98,159,143,2347
0,110,124,211,174,2348
0,111,125,179,175,2350
0,133,120,157,140,2351
0,127,108,131,98,8
0,111,114,165,167,13
0,110,101,195,165,18
0,113,125,166,82,20
0,113,121,212,138,23
0,100,114,149,136,25
0,107,135,151,101,29
0,108,110,209,207,32
0,140,114,115,151,44
0,114,118,147,83,48
0,110,114,152,173,49
0,111,125,209,153,51
0,104,114,176,189,56
0,100,110,197,134,59
0,111,105,223,210,63
0,115,132,177,86,65
0,110,124,203,174,67
0,121,110,172,168,69
0,107,109,173,174,70
0,109,125,189,164,71
0,108,104,166,124,73
0,113,120,173,111,76
0,109,114,164,209,78
0,120,114,155,118,83
0,114,113,194,174,84
0,119,125,197,170,87
0,110,120,203,153,96
0,120,111,191,222,99
0,102,121,183,151,100
0,109,125,167,132,105
0,98,103,123,153,109
0,102,103,147,128,111
0,110,115,209,152,115
0,114,150,156,110,118
0,158,121,127,125,120
0,96,131,174,122,121
0,125,110,147,158,124
0,109,100,197,168,128
0,108,115,199,157,134
0,103,111,186,185,135
0,108,113,203,146,157
0,113,116,190,120,162
0,111,128,157,82,163
0,111,114,219,129,168
0,115,155,213,136,173
0,111,133,223,171,174
0,119,137,100,87,177
0,83,99,113,120,178
0,125,115,174,132,179
0,100,114,125,127,184
0,102,103,172,78,185
0,112,114,221,200,188
0,100,98,138,111,192
0,115,110,181,154,196
0,137,88,121,127,198
0,83,101,137,89,203
0,115,123,201,159,205
0,124,110,176,211,207
0,111,110,204,145,208
0,107,99,214,164,209
0,101,122,179,139,210
0,108,109,75,67,211
0,98,112,116,114,212
0,133,122,57,32,218
0,111,108,219,203,219
0,109,116,186,105,220
0,50,145,83,99,221
0,113,113,206,170,226
0,107,115,139,116,229
0,119,100,136,167,230
0,107,112,190,157,231
0,147,132,117,111,233
0,116,115,179,103,237
0,101,121,174,132,239
0,110,116,185,112,240
0,111,111,152,159,251
0,124,115,153,89,252
0,120,128,53,43,254
0,108,102,163,123,256
0,114,102,170,157,259
0,109,120,187,130,270
0,103,111,157,147,275
0,109,112,200,199,277
0,113,135,171,139,279
0,74,103,126,112,281
0,111,114,184,154,282
0,110,111,186,161,283
0,101,110,183,137,286
0,112,138,214,144,289
0,114,121,194,155,290
0,157,102,131,186,291
0,75,114,136,141,296
0,124,102,166,187,297
0,108,112,203,178,298
0,108,120,190,133,299
0,109,127,169,117,303
0,100,81,177,118,305
0,99,109,172,200,306
0,108,110,150,175,307
0,114,119,187,129,308
0,107,109,195,162,311
0,112,127,207,127,316
0,119,107,152,145,321
0,134,126,83,58,324
0,113,103,160,160,332
0,111,114,214,138,342
0,111,114,209,153,350
0,110,110,216,142,351
0,109,125,195,108,353
0,111,110,223,182,354
0,112,122,180,163,360
0,111,127,186,147,361
0,121,118,162,82,366
0,110,113,199,148,367
0,110,114,187,161,368
0,65,125,131,143,374
0,96,108,136,157,377
0,110,112,158,134,380
0,110,114,187,209,381
0,91,144,136,122,382
0,99,121,193,131,383
0,133,113,167,137,387
0,110,114,198,170,402
0,158,104,98,79,406
0,110,120,205,168,407
0,109,111,194,99,408
0,119,113,161,191,409
0,110,99,166,153,410
0,110,114,160,121,411
0,109,119,172,101,414
0,102,111,178,127,416
0,98,107,41,30,420
0,111,112,206,192,422
0,114,113,207,210,423
0,113,112,202,103,426
0,109,120,164,95,427
0,147,109,149,218,429
0,111,110,213,141,430
0,54,107,105,103,432
0,112,116,169,81,433
0,111,113,219,154,435
0,112,113,208,180,438
0,113,111,199,186,440
0,111,121,215,142,445
0,134,116,177,214,447
0,116,118,131,125,457
0,110,113,199,168,458
0,115,109,199,192,461
0,112,103,146,193,463
0,111,113,221,157,464
0,107,103,165,130,471
0,88,92,165,119,472
0,72,110,145,170,478
0,112,113,168,115,479
0,114,89,144,156,480
0,112,125,177,85,482
0,115,108,166,211,483
0,98,108,165,168,485
0,113,114,208,183,486
0,113,134,164,89,494
0,114,100,178,179,495
0,108,120,172,142,506
0,108,112,184,116,507
0,115,113,191,199,508
0,135,122,116,82,509
0,104,121,194,171,511
0,119,109,183,130,514
0,113,111,159,223,519
0,100,132,171,122,522
0,114,113,189,172,527
0,101,113,183,159,528
0,97,110,149,200,529
0,92,110,135,97,530
0,102,112,178,159,532
0,98,111,152,151,535
0,107,122,178,169,538
0,115,125,176,121,543
0,114,111,195,136,544
0,102,112,187,179,548
0,115,103,118,186,552
0,112,111,161,132,554
0,100,122,185,133,555
0,103,112,204,220,557
0,108,123,198,166,561
0,108,100,187,90,564
0,136,118,67,48,565
0,122,100,136,112,571
0,126,102,172,173,575
0,123,109,154,126,581
0,137,122,141,168,582
0,114,114,176,147,585
0,135,111,176,223,590
0,42,126,85,73,596
0,111,114,197,185,598
0,108,119,214,171,599
0,171,108,103,101,602
0,110,125,211,151,605
0,120,103,174,133,610
0,112,112,207,193,611
0,144,86,147,152,613
0,109,120,191,164,617
0,110,127,212,142,618
0,112,122,189,192,620
0,120,109,204,219,621
0,109,126,186,193,629
0,103,132,143,113,630
0,112,113,212,192,632
0,113,115,202,150,636
0,113,112,215,205,637
0,92,127,160,118,642
0,111,122,156,188,643
0,114,120,184,130,647
0,119,110,207,151,649
0,65,110,124,61,650
0,108,120,205,140,651
0,89,108,69,74,668
0,101,108,195,173,670
0,108,125,186,127,672
0,111,109,200,166,674
0,107,120,184,160,677
0,98,134,140,122,678
0,98,100,181,169,679
0,114,128,167,96,685
0,143,125,148,185,686
0,100,133,120,133,693
0,98,126,163,186,694
0,109,92,184,117,695
0,103,109,179,127,705
0,98,113,178,155,707
0,124,122,158,66,715
0,112,92,169,151,719
0,111,102,187,164,727
0,109,109,153,110,729
0,113,110,150,91,733
0,96,115,161,144,742
0,110,108,190,204,746
0,111,109,207,213,756
0,114,114,190,206,759
0,110,113,211,182,765
0,112,97,157,128,767
0,109,111,181,139,782
0,115,103,175,184,785
0,108,111,183,171,786
0,97,108,142,118,787
0,114,97,214,145,788
0,107,108,211,182,792
0,95,133,157,122,798
0,112,120,180,107,800
0,112,121,216,129,807
0,109,102,172,145,808
0,111,103,205,163,809
0,112,120,185,163,810
0,108,108,159,121,817
0,100,111,128,109,819
0,121,138,161,109,821
0,98,103,182,160,829
0,111,110,208,174,831
0,112,99,205,165,836
0,65,114,131,195,838
0,110,119,199,207,840
0,108,115,201,132,841
0,120,121,184,107,845
0,110,112,220,165,849
0,112,119,164,201,855
0,112,39,195,78,857
0,109,102,194,193,859
0,104,100,107,104,861
0,100,100,125,107,862
0,121,114,173,103,867
0,102,103,172,170,869
0,120,115,146,171,873
0,107,112,193,156,874
0,112,115,168,205,879
0,119,119,178,185,881
0,115,101,136,126,886
0,112,113,187,131,888
0,113,114,196,188,889
0,138,92,109,106,892
0,108,102,214,174,900
0,109,114,195,160,903
0,92,108,106,131,906
0,112,103,182,126,915
0,125,104,140,74,916
0,107,107,177,179,923
0,111,139,170,133,925
0,119,91,186,35,926
0,103,113,174,158,927
0,115,119,158,128,929
0,113,133,217,152,930
0,113,113,202,177,931
0,114,111,185,180,932
0,112,126,212,174,937
0,110,99,188,150,944
0,86,102,164,106,948
0,112,127,192,120,949
0,110,124,169,119,952
0,122,112,183,172,961
0,112,119,194,198,963
0,113,115,189,113,964
0,109,112,203,218,965
0,109,124,214,172,973
0,79,114,117,156,976
0,113,121,212,138,979
0,160,96,125,71,981
0,110,114,184,170,986
0,115,113,209,172,990
0,112,147,180,134,998
0,114,119,207,100,1000
0,110,114,210,188,1001
0,113,121,202,157,1004
0,109,113,211,196,1014
0,122,87,193,171,1017
0,109,122,190,158,1025
0,111,114,205,173,1027
0,110,102,196,159,1029
0,111,114,195,183,1033
0,92,151,152,105,1034
0,113,103,202,206,1037
0,107,113,211,184,1047
0,112,115,190,184,1050
0,108,160,161,80,1053
0,109,78,174,118,1054
0,110,110,216,203,1055
0,112,114,213,186,1061
0,79,139,146,154,1064
0,103,112,195,211,1068
0,113,113,220,196,1078
0,107,110,207,126,1080
0,110,112,160,120,1084
0,110,112,205,171,1085
0,111,135,153,124,1087
0,112,113,202,149,1089
0,110,155,194,116,1094
0,115,113,208,188,1100
0,111,110,215,208,1102
0,114,124,209,163,1103
0,113,111,215,207,1105
0,107,112,199,186,1110
0,112,110,208,195,1112
0,113,103,204,175,1121
0,115,109,215,219,1125
0,113,104,148,114,1127
0,111,135,206,124,1128
0,112,132,203,126,1131
0,73,136,138,89,1132
0,111,109,223,213,1137
0,111,111,194,168,1138
0,112,114,209,178,1143
0,114,108,194,135,1146
0,109,114,205,181,1151
0,111,109,220,199,1163
0,112,123,204,192,1170
0,111,114,205,199,1177
0,100,111,178,177,1178
0,111,126,192,152,1179
0,113,123,205,136,1187
0,100,112,190,155,1192
0,110,104,216,154,1195
0,111,112,209,202,1196
0,111,110,223,220,1198
0,112,126,216,174,1199
0,122,112,169,162,1204
0,102,121,182,126,1207
0,110,111,215,181,1208
0,110,115,211,188,1211
0,12,114,25,58,1216
0,115,125,196,136,1220
0,110,133,211,159,1222
0,112,125,181,110,1223
0,115,109,186,118,1229
0,112,113,212,151,1232
0,115,136,164,82,1237
0,110,110,213,207,1244
0,108,108,203,210,1247
0,115,115,185,142,1249
0,111,114,208,189,1255
0,154,161,123,120,1261
0,111,124,210,162,1263
0,110,113,197,153,1266
0,109,97,204,109,1268
0,109,110,199,193,1269
0,111,109,209,172,1270
0,133,169,113,62,1271
0,111,111,211,166,1273
0,108,126,195,95,1278
0,111,120,214,133,1279
0,110,119,221,179,1281
0,111,114,162,213,1284
0,110,113,152,176,1287
0,109,125,213,166,1288
0,115,110,194,173,1292
0,110,115,209,192,1293
0,111,136,207,145,1301
0,112,111,194,140,1303
0,113,124,203,147,1310
0,113,114,204,185,1311
0,111,112,201,194,1313
0,111,113,203,185,1315
0,111,112,213,190,1316
0,111,109,203,185,1318
0,111,113,207,201,1320
0,111,112,207,186,1321
0,114,135,191,176,1330
0,111,109,195,216,1333
0,109,113,211,205,1334
0,112,130,211,151,1338
0,111,110,212,153,1340
0,111,113,220,190,1341
0,120,142,175,133,1344
0,108,119,216,208,1349
0,111,110,221,201,1351
0,101,122,194,155,1352
0,112,111,208,176,1357
0,108,110,196,181,1359
0,113,112,217,205,1360
0,112,112,208,203,1362
0,110,113,203,182,1364
0,112,142,216,161,1366
0,115,122,214,162,1377
0,111,122,194,148,1379
0,112,111,214,223,1380
0,113,127,166,114,1381
0,111,114,162,213,1382
0,111,110,212,196,1385
0,111,115,212,200,1391
0,113,110,196,135,1393
0,103,125,188,123,1395
0,115,114,202,179,1398
0,107,121,178,149,1403
0,40,166,66,80,1405
0,104,115,153,92,1406
0,74,78,92,124,1411
0,181,99,69,74,1418
0,113,127,202,170,1423
0,110,113,214,185,1430
0,102,151,179,122,1436
0,98,102,163,183,1441
0,108,120,215,143,1444
0,114,104,178,116,1452
0,112,103,202,187,1454
0,109,116,211,214,1455
0,107,126,188,126,1456
0,108,95,160,99,1457
0,110,122,209,180,1459
0,113,119,204,185,1461
0,109,120,203,165,1463
0,111,110,209,208,1465
0,64,147,98,75,1466
0,112,114,207,178,1472
0,106,120,93,95,1475
0,111,109,196,202,1487
0,110,121,207,159,1488
0,114,135,191,176,1491
0,112,143,164,122,1499
0,115,108,206,139,1501
0,111,112,223,206,1511
0,111,124,198,119,1513
0,99,102,182,200,1521
0,110,131,194,77,1523
0,109,112,213,205,1525
0,111,109,178,207,1530
0,114,123,210,165,1532
0,110,110,212,220,1535
0,112,126,213,126,1537
0,108,127,184,118,1538
0,110,121,207,159,1547
0,112,122,202,92,1552
0,114,111,206,196,1553
0,111,118,211,203,1557
0,108,114,207,167,1558
0,111,112,208,189,1577
0,108,126,170,105,1583
0,112,111,214,190,1584
0,110,112,160,120,1591
0,114,110,159,140,1594
0,103,118,98,69,1598
0,111,114,208,196,1602
0,110,111,201,149,1604
0,108,123,152,124,1605
0,143,155,150,134,1606
0,113,112,203,211,1607
0,111,111,191,200,1608
0,112,116,172,190,1609
0,110,115,193,141,1611
0,110,114,219,199,1621
0,109,110,206,192,1637
0,112,111,181,176,1639
0,145,145,129,109,1640
0,111,108,213,183,1644
0,86,151,154,109,1645
0,88,152,157,128,1646
0,108,134,207,172,1647
0,124,142,166,118,1651
0,110,138,181,136,1653
0,84,113,157,133,1655
0,113,112,208,184,1662
0,109,103,205,175,1665
0,133,144,109,86,1667
0,111,143,188,143,1668
0,114,125,216,176,1670
0,107,114,196,178,1673
0,167,78,78,121,1681
0,111,111,203,195,1690
0,114,124,192,173,1694
0,110,113,200,189,1697
0,112,123,217,139,1703
0,112,111,221,198,1706
0,109,111,190,151,1713
0,112,113,207,155,1714
0,110,115,208,182,1717
0,115,110,202,179,1719
0,109,113,213,177,1720
0,111,112,211,179,1724
0,97,96,172,153,1725
0,119,120,173,92,1728
0,112,111,218,209,1729
0,107,111,199,177,1732
0,88,114,162,122,1736
0,112,111,198,138,1737
0,107,113,211,192,1740
0,110,113,207,194,1743
0,111,114,216,178,1744
0,137,151,153,119,1745
0,112,112,214,206,1747
0,119,126,151,128,1750
0,111,135,208,154,1760
0,118,90,196,121,1767
0,111,114,204,180,1772
0,118,118,207,121,1776
0,111,106,179,129,1779
0,127,112,144,81,1780
0,108,96,188,103,1783
0,113,125,211,165,1789
0,107,154,141,86,1791
0,111,110,213,205,1795
0,110,114,207,196,1798
0,118,123,205,179,1805
0,111,122,170,162,1807
0,93,125,112,105,1811
0,113,122,213,168,1814
0,112,127,136,133,1817
0,109,103,214,190,1827
0,109,135,212,102,1828
0,110,115,213,182,1835
0,109,112,199,210,1842
0,103,132,195,159,1847
0,112,121,213,183,1848
0,109,111,185,167,1852
0,143,155,150,134,1861
0,112,120,172,79,1864
0,120,121,181,172,1868
0,110,114,168,208,1873
0,113,109,220,219,1875
0,113,113,219,202,1876
0,112,112,222,189,1883
0,112,110,210,185,1885
0,111,112,210,176,1886
0,111,113,206,193,1891
0,111,121,211,182,1894
0,108,138,195,105,1897
0,109,113,209,193,1904
0,110,113,215,194,1907
0,109,115,215,180,1910
0,115,121,215,116,1918
0,110,112,205,168,1924
0,109,110,207,182,1928
0,115,108,203,189,1936
0,110,111,201,149,1940
0,112,114,198,194,1944
0,113,121,198,179,1945
0,111,118,211,203,1946
0,110,111,211,191,1947
0,111,112,203,175,1949
0,119,121,129,129,1950
0,119,96,140,153,1952
0,113,120,196,185,1960
0,112,121,217,144,1962
0,109,126,170,72,1963
0,101,111,185,148,1964
0,110,113,174,117,1965
0,112,116,111,71,1966
0,110,111,195,179,1967
0,108,113,213,197,1968
0,112,110,214,206,1970
0,110,110,209,196,1976
0,109,114,208,141,1979
0,109,121,203,97,1985
0,102,125,160,131,1987
0,114,113,209,185,1990
0,155,63,135,109,1993
0,112,112,204,186,2002
0,113,112,194,195,2007
0,112,124,202,151,2008
0,114,114,189,177,2010
0,115,115,212,180,2021
0,111,111,208,181,2023
0,111,114,207,177,2030
0,145,120,155,197,2033
